ds,arch,kappa,ens_reported,true,skew,pred_MAE_ens,disagree_logit_only,disagree_feat_only,both_fire,neither_fire
CCT,resnet,0.2,0.5376304270610374,0.38655462861061096,0.1510757984504264,0.11173538857985496,0.32773110270500183,0.0,0.0,0.6722689270973206
CCT,resnet,0.5,0.537311074713547,0.3949579894542694,0.1423530852592776,0.11173538857985496,0.31092438101768494,0.0,0.0,0.6890756487846375
CCT,resnet,1.0,0.5384288079297633,0.4117647409439087,0.12666406698585464,0.11173538857985496,0.36974790692329407,0.0,0.0,0.6302521228790283
CCT,resnet,2.0,0.5374707508872921,0.4117647409439087,0.12570600994338343,0.11173538857985496,0.3193277418613434,0.0,0.0,0.680672287940979
