,det_msp,det_energy,det_cross_entropy,det_grad_magnitude,det_mahalanobis,det_knn,det_vim,det_react,ATC,AC,DoC,ind_acc
ImageNetR,0.019378660711781348,0.024813218116197345,0.024819439509527468,0.08173804593530837,0.01622949925880673,0.03695684927688788,0.029084752865204785,0.051281577503092445,0.011080365948154406,0.20255297397565802,0.053864523034404414,0.9368990384615384
ImageNetA,0.022720049528302828,0.02679799947919352,0.02680115772910589,0.08555944271912279,0.030767517235105304,0.04097509631118976,0.039622385194662824,0.05568334512263438,0.01977706454869916,0.19874841327695753,0.06074307043515093,0.9439102564102564
ImageNetV2,0.01049056734822502,0.03058871793618357,0.030593836626061948,0.07092906455019363,0.020948473198484308,0.020931562650832382,0.015802830096093293,0.03385083089740604,0.010900811449294657,0.10869649009264806,0.05951752890821846,0.792693661971831
