fold,clean_acc,clean_maha_detect,V0_maha_flip,V0_acc_after,WIN_lowmaha_wrong
ind_test,0.949999988079071,0.07499998807907104,1.0,0.824999988079071,1.0
noise_0.05,0.32500001788139343,0.8250000029802322,1.0,0.4000000059604645,1.0
noise_0.1,0.30000001192092896,1.0,1.0,0.45000001788139343,1.0
