Dataset,Model,fold,true_acc,nuclear_norm,cot,N
CCT,vit,contrast_0.325,0.89183,3.24494,0.09114,1664
CCT,vit,contrast_0.35000000000000003,0.89243,3.24613,0.09061,1664
CCT,vit,contrast_0.375,0.90505,3.26015,0.08387,1664
CCT,vit,contrast_0.4,0.91286,3.26612,0.08154,1664
CCT,vit,contrast_0.42500000000000004,0.92488,3.27217,0.07824,1664
CCT,vit,contrast_0.45,0.93209,3.27894,0.07882,1664
CCT,vit,contrast_0.47500000000000003,0.9375,3.28253,0.07798,1664
CCT,vit,contrast_0.5,0.94471,3.28762,0.07846,1664
CCT,vit,smear_0.025,0.96394,3.31459,0.08348,1664
CCT,vit,smear_0.05,0.96034,3.31672,0.08684,1664
CCT,vit,smear_0.07500000000000001,0.96094,3.31951,0.0843,1664
CCT,vit,smear_0.1,0.95433,3.32397,0.07915,1664
CCT,vit,smear_0.125,0.95673,3.32184,0.08383,1664
CCT,vit,smear_0.15000000000000002,0.94772,3.29752,0.07814,1664
CCT,vit,smear_0.17500000000000002,0.94832,3.29955,0.07039,1664
CCT,vit,smear_0.2,0.94471,3.29039,0.07051,1664
CCT,vit,smear_0.225,0.93389,3.27075,0.07869,1664
CCT,vit,smear_0.25,0.92188,3.27936,0.06754,1664
CCT,vit,smear_0.275,0.91166,3.2665,0.0708,1664
CCT,vit,smear_0.30000000000000004,0.90264,3.26896,0.07579,1664
CCT,vit,smear_0.325,0.88942,3.25133,0.08975,1664
CCT,vit,smear_0.35000000000000003,0.8738,3.24461,0.10655,1664
CCT,vit,smear_0.375,0.86478,3.2271,0.10015,1664
CCT,vit,smear_0.4,0.84976,3.23167,0.11924,1664
CCT,vit,smear_0.42500000000000004,0.82873,3.2235,0.14715,1664
CCT,vit,smear_0.45,0.81971,3.21063,0.15701,1664
CCT,vit,smear_0.47500000000000003,0.80048,3.20944,0.1517,1664
CCT,vit,smear_0.5,0.77764,3.17729,0.17861,1664
CCT,vit,fog_0.025,0.96935,3.31743,0.08488,1664
CCT,vit,fog_0.05,0.96935,3.31766,0.08368,1664
CCT,vit,fog_0.07500000000000001,0.96935,3.31744,0.08368,1664
CCT,vit,fog_0.1,0.96935,3.31718,0.08368,1664
CCT,vit,fog_0.125,0.96935,3.31794,0.08488,1664
CCT,vit,fog_0.15000000000000002,0.96695,3.32103,0.0826,1664
CCT,vit,fog_0.17500000000000002,0.96635,3.32013,0.08421,1664
CCT,vit,fog_0.2,0.96935,3.31387,0.08303,1664
CCT,vit,fog_0.225,0.96935,3.31478,0.08385,1664
CCT,vit,fog_0.25,0.96815,3.31138,0.08233,1664
CCT,vit,fog_0.275,0.96094,3.30774,0.08604,1664
CCT,vit,fog_0.30000000000000004,0.95493,3.30829,0.09573,1664
CCT,vit,fog_0.325,0.95312,3.31585,0.09715,1664
CCT,vit,fog_0.35000000000000003,0.95673,3.30862,0.09885,1664
CCT,vit,fog_0.375,0.95613,3.31176,0.08887,1664
CCT,vit,fog_0.4,0.95072,3.29902,0.09525,1664
CCT,vit,fog_0.42500000000000004,0.90144,3.30481,0.13206,1664
CCT,vit,fog_0.45,0.90925,3.29912,0.13202,1664
CCT,vit,fog_0.47500000000000003,0.91827,3.29772,0.10012,1664
CCT,vit,fog_0.5,0.91707,3.28442,0.10674,1664
CCT,vit,jpeg_0.025,0.97055,3.31454,0.08387,1664
CCT,vit,jpeg_0.05,0.96995,3.31516,0.08499,1664
CCT,vit,jpeg_0.07500000000000001,0.96995,3.31438,0.08249,1664
CCT,vit,jpeg_0.1,0.97115,3.3148,0.08481,1664
CCT,vit,jpeg_0.125,0.96935,3.31419,0.08377,1664
CCT,vit,jpeg_0.15000000000000002,0.96815,3.31439,0.08352,1664
CCT,vit,jpeg_0.17500000000000002,0.96935,3.31424,0.08506,1664
CCT,vit,jpeg_0.2,0.97115,3.31351,0.08366,1664
CCT,vit,jpeg_0.225,0.96935,3.31296,0.08373,1664
CCT,vit,jpeg_0.25,0.96875,3.31455,0.08339,1664
CCT,vit,jpeg_0.275,0.96995,3.31447,0.08454,1664
CCT,vit,jpeg_0.30000000000000004,0.96935,3.3149,0.08377,1664
CCT,vit,jpeg_0.325,0.96815,3.31386,0.08371,1664
CCT,vit,jpeg_0.35000000000000003,0.96815,3.31376,0.08328,1664
CCT,vit,jpeg_0.375,0.96995,3.31441,0.08327,1664
CCT,vit,jpeg_0.4,0.96875,3.31281,0.0832,1664
CCT,vit,jpeg_0.42500000000000004,0.96755,3.31225,0.08194,1664
CCT,vit,jpeg_0.45,0.96875,3.31306,0.08402,1664
CCT,vit,jpeg_0.47500000000000003,0.96815,3.31319,0.08468,1664
CCT,vit,jpeg_0.5,0.96755,3.31018,0.08331,1664
OfficeHome,resnet,ind_val,0.39583,5.73218,0.0,432
OfficeHome,resnet,ind_test,0.34722,5.65914,0.29848,432
OfficeHome,resnet,Clipart,0.0625,5.16369,0.71339,432
OfficeHome,resnet,Art,0.1625,4.95236,0.456,240
OfficeHome,resnet,Product,0.25694,5.50252,0.4562,432
OfficeHome,resnet,noise_0.025,0.23611,5.05225,0.73542,432
OfficeHome,resnet,noise_0.05,0.15278,4.2693,0.9622,432
OfficeHome,resnet,noise_0.07500000000000001,0.11343,3.96506,1.04185,432
OfficeHome,resnet,noise_0.1,0.08796,3.72879,1.16619,432
OfficeHome,resnet,noise_0.125,0.06944,3.40361,1.27983,432
OfficeHome,resnet,noise_0.15000000000000002,0.04861,3.07478,1.47576,432
OfficeHome,resnet,noise_0.17500000000000002,0.03241,2.85696,1.56717,432
OfficeHome,resnet,noise_0.2,0.02315,2.68157,1.63015,432
OfficeHome,resnet,noise_0.225,0.02315,2.45061,1.68773,432
OfficeHome,resnet,noise_0.25,0.01852,2.1314,1.73862,432
OfficeHome,resnet,noise_0.275,0.01852,1.87807,1.76541,432
OfficeHome,resnet,noise_0.30000000000000004,0.01389,1.67041,1.81896,432
OfficeHome,resnet,noise_0.325,0.01389,1.46917,1.88665,432
OfficeHome,resnet,noise_0.35000000000000003,0.01157,1.29024,1.93168,432
OfficeHome,resnet,noise_0.375,0.01389,1.18954,1.94697,432
OfficeHome,resnet,noise_0.4,0.01389,1.09092,1.95402,432
OfficeHome,resnet,noise_0.42500000000000004,0.01389,1.02215,1.96528,432
OfficeHome,resnet,noise_0.45,0.01389,1.00048,1.96938,432
OfficeHome,resnet,noise_0.47500000000000003,0.01389,1.0001,1.96946,432
OfficeHome,resnet,noise_0.5,0.01389,1.0001,1.96946,432
OfficeHome,resnet,multnoise_0.025,0.2338,4.89191,0.78501,432
OfficeHome,resnet,multnoise_0.05,0.19907,4.68724,0.80361,432
OfficeHome,resnet,multnoise_0.07500000000000001,0.13194,4.37214,0.92822,432
