Dataset,Model,fold,true_acc,nuclear_norm,cot,N
OfficeHome,resnet,multnoise_0.1,0.10417,3.92823,1.093,432
OfficeHome,resnet,multnoise_0.125,0.08102,3.36431,1.38034,432
OfficeHome,resnet,multnoise_0.15000000000000002,0.04861,2.97915,1.55617,432
OfficeHome,resnet,multnoise_0.17500000000000002,0.03009,2.71445,1.66763,432
OfficeHome,resnet,multnoise_0.2,0.02083,2.39622,1.74233,432
OfficeHome,resnet,multnoise_0.225,0.01852,2.14365,1.78075,432
OfficeHome,resnet,multnoise_0.25,0.0162,1.98089,1.81502,432
OfficeHome,resnet,multnoise_0.275,0.01389,1.87342,1.84036,432
OfficeHome,resnet,multnoise_0.30000000000000004,0.0162,1.75344,1.85489,432
OfficeHome,resnet,multnoise_0.325,0.0162,1.66998,1.86746,432
OfficeHome,resnet,multnoise_0.35000000000000003,0.01389,1.61979,1.8751,432
OfficeHome,resnet,multnoise_0.375,0.01389,1.58401,1.88023,432
OfficeHome,resnet,multnoise_0.4,0.01389,1.55754,1.88349,432
OfficeHome,resnet,multnoise_0.42500000000000004,0.01389,1.53536,1.88584,432
OfficeHome,resnet,multnoise_0.45,0.01389,1.45869,1.89272,432
OfficeHome,resnet,multnoise_0.47500000000000003,0.01389,1.4702,1.8907,432
OfficeHome,resnet,multnoise_0.5,0.01389,1.44873,1.89605,432
OfficeHome,resnet,hue_0.025,0.35417,5.63014,0.31559,432
OfficeHome,resnet,hue_0.05,0.35417,5.61594,0.32658,432
OfficeHome,resnet,hue_0.07500000000000001,0.34028,5.5904,0.32624,432
OfficeHome,resnet,hue_0.1,0.33102,5.54844,0.34135,432
OfficeHome,resnet,hue_0.125,0.33333,5.49069,0.37126,432
OfficeHome,resnet,hue_0.15000000000000002,0.31713,5.46081,0.41447,432
OfficeHome,resnet,hue_0.17500000000000002,0.2963,5.3997,0.44938,432
OfficeHome,resnet,hue_0.2,0.27546,5.35659,0.49286,432
OfficeHome,resnet,hue_0.225,0.25694,5.33577,0.53636,432
OfficeHome,resnet,hue_0.25,0.24537,5.28883,0.57165,432
OfficeHome,resnet,hue_0.275,0.24306,5.25149,0.61206,432
OfficeHome,resnet,hue_0.30000000000000004,0.23843,5.21558,0.63371,432
OfficeHome,resnet,hue_0.325,0.22685,5.21248,0.64754,432
OfficeHome,resnet,hue_0.35000000000000003,0.21991,5.18693,0.64924,432
OfficeHome,resnet,hue_0.375,0.21991,5.18767,0.65246,432
OfficeHome,resnet,hue_0.4,0.20833,5.1929,0.65171,432
OfficeHome,resnet,hue_0.42500000000000004,0.2037,5.18936,0.65975,432
OfficeHome,resnet,hue_0.45,0.19907,5.19351,0.65614,432
OfficeHome,resnet,hue_0.47500000000000003,0.19444,5.19631,0.65647,432
OfficeHome,resnet,hue_0.5,0.19444,5.21699,0.64089,432
OfficeHome,resnet,saltpepper_0.025,0.04167,2.19492,1.76585,432
OfficeHome,resnet,saltpepper_0.05,0.04167,2.02882,1.78827,432
OfficeHome,resnet,saltpepper_0.07500000000000001,0.03241,1.89838,1.806,432
OfficeHome,resnet,saltpepper_0.1,0.03241,1.82783,1.81228,432
OfficeHome,resnet,saltpepper_0.125,0.03009,1.71885,1.84746,432
OfficeHome,resnet,saltpepper_0.15000000000000002,0.02546,1.67344,1.86024,432
OfficeHome,resnet,saltpepper_0.17500000000000002,0.02546,1.5762,1.87964,432
OfficeHome,resnet,saltpepper_0.2,0.02315,1.47351,1.90373,432
OfficeHome,resnet,saltpepper_0.225,0.02083,1.38252,1.91717,432
OfficeHome,resnet,saltpepper_0.25,0.01852,1.26099,1.92465,432
OfficeHome,resnet,saltpepper_0.275,0.0162,1.14955,1.93958,432
OfficeHome,resnet,saltpepper_0.30000000000000004,0.01389,1.06444,1.95199,432
OfficeHome,resnet,saltpepper_0.325,0.01389,1.0145,1.96668,432
OfficeHome,resnet,saltpepper_0.35000000000000003,0.01389,1.00437,1.9689,432
OfficeHome,resnet,saltpepper_0.375,0.01389,1.00203,1.96925,432
OfficeHome,resnet,saltpepper_0.4,0.01389,1.0016,1.9693,432
OfficeHome,resnet,saltpepper_0.42500000000000004,0.01389,1.00128,1.96934,432
OfficeHome,resnet,saltpepper_0.45,0.01389,1.00128,1.96934,432
OfficeHome,resnet,saltpepper_0.47500000000000003,0.01389,1.00129,1.96934,432
OfficeHome,resnet,saltpepper_0.5,0.01389,1.00127,1.96934,432
OfficeHome,resnet,brightness_0.025,0.35648,5.64454,0.30122,432
OfficeHome,resnet,brightness_0.05,0.36574,5.62846,0.31463,432
OfficeHome,resnet,brightness_0.07500000000000001,0.35417,5.60143,0.31799,432
OfficeHome,resnet,brightness_0.1,0.34722,5.60612,0.32115,432
OfficeHome,resnet,brightness_0.125,0.34954,5.60062,0.32617,432
OfficeHome,resnet,brightness_0.15000000000000002,0.34491,5.59173,0.33214,432
OfficeHome,resnet,brightness_0.17500000000000002,0.34954,5.58625,0.33766,432
OfficeHome,resnet,brightness_0.2,0.34491,5.58913,0.34387,432
OfficeHome,resnet,brightness_0.225,0.33796,5.58084,0.35563,432
OfficeHome,resnet,brightness_0.25,0.34259,5.57931,0.35454,432
OfficeHome,resnet,brightness_0.275,0.32639,5.58073,0.36609,432
OfficeHome,resnet,brightness_0.30000000000000004,0.32407,5.55713,0.37839,432
OfficeHome,resnet,brightness_0.325,0.32639,5.5499,0.36996,432
OfficeHome,resnet,brightness_0.35000000000000003,0.3287,5.5547,0.36827,432
OfficeHome,resnet,brightness_0.375,0.33796,5.57982,0.35141,432
OfficeHome,resnet,brightness_0.4,0.35185,5.58034,0.33572,432
OfficeHome,resnet,brightness_0.42500000000000004,0.35185,5.60156,0.32361,432
OfficeHome,resnet,brightness_0.45,0.34954,5.65045,0.30422,432
OfficeHome,resnet,brightness_0.47500000000000003,0.36111,5.67602,0.30172,432
OfficeHome,resnet,brightness_0.5,0.36343,5.69294,0.32077,432
OfficeHome,resnet,contrast_0.025,0.36806,5.61917,0.3098,432
OfficeHome,resnet,contrast_0.05,0.34954,5.60524,0.3144,432
OfficeHome,resnet,contrast_0.07500000000000001,0.32639,5.55882,0.32808,432
OfficeHome,resnet,contrast_0.1,0.32639,5.54072,0.3512,432
OfficeHome,resnet,contrast_0.125,0.31481,5.49859,0.37537,432
OfficeHome,resnet,contrast_0.15000000000000002,0.30093,5.45913,0.393,432
OfficeHome,resnet,contrast_0.17500000000000002,0.28704,5.38103,0.42462,432
OfficeHome,resnet,contrast_0.2,0.26852,5.32252,0.45493,432
OfficeHome,resnet,contrast_0.225,0.25,5.23195,0.49453,432
OfficeHome,resnet,contrast_0.25,0.2338,5.14964,0.53023,432
OfficeHome,resnet,contrast_0.275,0.22685,5.03203,0.57695,432
OfficeHome,resnet,contrast_0.30000000000000004,0.21528,4.89685,0.62699,432
OfficeHome,resnet,contrast_0.325,0.18519,4.71038,0.68987,432
OfficeHome,resnet,contrast_0.35000000000000003,0.1875,4.7368,0.68336,432
OfficeHome,resnet,contrast_0.375,0.21065,4.83611,0.64655,432
OfficeHome,resnet,contrast_0.4,0.21065,4.89452,0.62353,432
OfficeHome,resnet,contrast_0.42500000000000004,0.22222,5.01568,0.59064,432
OfficeHome,resnet,contrast_0.45,0.22917,5.07155,0.56848,432
OfficeHome,resnet,contrast_0.47500000000000003,0.23148,5.11971,0.54736,432
OfficeHome,resnet,contrast_0.5,0.23611,5.17176,0.5261,432
OfficeHome,resnet,smear_0.025,0.31481,5.54464,0.38715,432
OfficeHome,resnet,smear_0.05,0.32176,5.52893,0.39298,432
OfficeHome,resnet,smear_0.07500000000000001,0.32639,5.53151,0.36232,432
OfficeHome,resnet,smear_0.1,0.31481,5.51611,0.37918,432
OfficeHome,resnet,smear_0.125,0.32639,5.57011,0.3773,432
OfficeHome,resnet,smear_0.15000000000000002,0.32407,5.5839,0.37906,432
OfficeHome,resnet,smear_0.17500000000000002,0.32176,5.51937,0.38398,432
OfficeHome,resnet,smear_0.2,0.3287,5.5892,0.37481,432
OfficeHome,resnet,smear_0.225,0.34028,5.4773,0.38682,432
OfficeHome,resnet,smear_0.25,0.33102,5.46947,0.37915,432
OfficeHome,resnet,smear_0.275,0.31481,5.48,0.39824,432
OfficeHome,resnet,smear_0.30000000000000004,0.3125,5.46666,0.36763,432
OfficeHome,resnet,smear_0.325,0.29861,5.44137,0.3611,432
OfficeHome,resnet,smear_0.35000000000000003,0.28009,5.4009,0.38172,432
OfficeHome,resnet,smear_0.375,0.2662,5.37306,0.38213,432
OfficeHome,resnet,smear_0.4,0.27315,5.34188,0.38125,432
OfficeHome,resnet,smear_0.42500000000000004,0.27083,5.31379,0.3916,432
OfficeHome,resnet,smear_0.45,0.27083,5.30423,0.38465,432
OfficeHome,resnet,smear_0.47500000000000003,0.27315,5.29073,0.3942,432
OfficeHome,resnet,smear_0.5,0.26852,5.24528,0.41584,432
OfficeHome,resnet,fog_0.025,0.34722,5.662,0.29999,432
OfficeHome,resnet,fog_0.05,0.34491,5.65089,0.30006,432
OfficeHome,resnet,fog_0.07500000000000001,0.34491,5.66055,0.29445,432
OfficeHome,resnet,fog_0.1,0.34028,5.64522,0.30033,432
OfficeHome,resnet,fog_0.125,0.34491,5.65372,0.3046,432
OfficeHome,resnet,fog_0.15000000000000002,0.35417,5.65587,0.30554,432
OfficeHome,resnet,fog_0.17500000000000002,0.34259,5.6441,0.30464,432
OfficeHome,resnet,fog_0.2,0.36111,5.66085,0.30383,432
OfficeHome,resnet,fog_0.225,0.34954,5.64974,0.30899,432
OfficeHome,resnet,fog_0.25,0.35648,5.65076,0.29977,432
OfficeHome,resnet,fog_0.275,0.28472,5.3829,0.49215,432
OfficeHome,resnet,fog_0.30000000000000004,0.28472,5.38911,0.48553,432
OfficeHome,resnet,fog_0.325,0.28241,5.36806,0.49509,432
OfficeHome,resnet,fog_0.35000000000000003,0.28241,5.37908,0.4968,432
OfficeHome,resnet,fog_0.375,0.28241,5.37763,0.49103,432
OfficeHome,resnet,fog_0.4,0.27778,5.36396,0.49743,432
OfficeHome,resnet,fog_0.42500000000000004,0.18287,4.64574,0.86641,432
OfficeHome,resnet,fog_0.45,0.1713,4.63576,0.85996,432
OfficeHome,resnet,fog_0.47500000000000003,0.17824,4.61572,0.86099,432
OfficeHome,resnet,fog_0.5,0.16435,4.59348,0.86975,432
OfficeHome,resnet,jpeg_0.025,0.35185,5.64374,0.31016,432
OfficeHome,resnet,jpeg_0.05,0.34954,5.6571,0.32138,432
OfficeHome,resnet,jpeg_0.07500000000000001,0.34954,5.64465,0.31068,432
OfficeHome,resnet,jpeg_0.1,0.35417,5.65253,0.31388,432
OfficeHome,resnet,jpeg_0.125,0.34259,5.64292,0.31311,432
OfficeHome,resnet,jpeg_0.15000000000000002,0.34722,5.6368,0.31334,432
OfficeHome,resnet,jpeg_0.17500000000000002,0.34491,5.65374,0.31781,432
OfficeHome,resnet,jpeg_0.2,0.34954,5.65494,0.3159,432
OfficeHome,resnet,jpeg_0.225,0.34722,5.64935,0.31209,432
OfficeHome,resnet,jpeg_0.25,0.35185,5.64831,0.31509,432
OfficeHome,resnet,jpeg_0.275,0.34954,5.64746,0.31779,432
OfficeHome,resnet,jpeg_0.30000000000000004,0.34954,5.64791,0.32071,432
OfficeHome,resnet,jpeg_0.325,0.34491,5.63948,0.32077,432
OfficeHome,resnet,jpeg_0.35000000000000003,0.34722,5.63737,0.32264,432
OfficeHome,resnet,jpeg_0.375,0.34259,5.64629,0.32185,432
OfficeHome,resnet,jpeg_0.4,0.33796,5.64658,0.31877,432
OfficeHome,resnet,jpeg_0.42500000000000004,0.33565,5.64787,0.31929,432
OfficeHome,resnet,jpeg_0.45,0.33565,5.65092,0.3246,432
OfficeHome,resnet,jpeg_0.47500000000000003,0.33796,5.6317,0.31931,432
OfficeHome,resnet,jpeg_0.5,0.33565,5.63103,0.33417,432
OfficeHome,vit,ind_val,0.71991,6.74072,0.0,432
OfficeHome,vit,ind_test,0.67361,6.66428,0.38534,432
OfficeHome,vit,Clipart,0.33796,5.36523,0.61561,432
OfficeHome,vit,Art,0.42083,5.59224,0.48416,240
OfficeHome,vit,Product,0.58796,6.34582,0.45638,432
OfficeHome,vit,noise_0.025,0.66667,6.64098,0.38277,432
OfficeHome,vit,noise_0.05,0.65509,6.64376,0.39167,432
OfficeHome,vit,noise_0.07500000000000001,0.65046,6.62422,0.40086,432
OfficeHome,vit,noise_0.1,0.65046,6.55007,0.41372,432
OfficeHome,vit,noise_0.125,0.62269,6.48246,0.4395,432
OfficeHome,vit,noise_0.15000000000000002,0.6088,6.40493,0.45448,432
OfficeHome,vit,noise_0.17500000000000002,0.5787,6.28496,0.4574,432
OfficeHome,vit,noise_0.2,0.55093,6.14773,0.47461,432
OfficeHome,vit,noise_0.225,0.54167,6.03886,0.48478,432
OfficeHome,vit,noise_0.25,0.50463,5.89382,0.51979,432
OfficeHome,vit,noise_0.275,0.46296,5.74992,0.56364,432
OfficeHome,vit,noise_0.30000000000000004,0.43981,5.57286,0.59851,432
OfficeHome,vit,noise_0.325,0.39815,5.45857,0.6517,432
OfficeHome,vit,noise_0.35000000000000003,0.37963,5.33205,0.69332,432
OfficeHome,vit,noise_0.375,0.36111,5.18811,0.74297,432
OfficeHome,vit,noise_0.4,0.34722,5.05007,0.78694,432
OfficeHome,vit,noise_0.42500000000000004,0.30556,4.88946,0.85208,432
OfficeHome,vit,noise_0.45,0.28704,4.77338,0.89504,432
OfficeHome,vit,noise_0.47500000000000003,0.26389,4.57975,0.94653,432
OfficeHome,vit,noise_0.5,0.25,4.44008,0.97836,432
OfficeHome,vit,multnoise_0.025,0.66667,6.65367,0.38804,432
OfficeHome,vit,multnoise_0.05,0.66898,6.64623,0.38522,432
OfficeHome,vit,multnoise_0.07500000000000001,0.64583,6.61861,0.37842,432
OfficeHome,vit,multnoise_0.1,0.63194,6.57121,0.39237,432
OfficeHome,vit,multnoise_0.125,0.6088,6.4749,0.40119,432
OfficeHome,vit,multnoise_0.15000000000000002,0.5787,6.41579,0.40124,432
OfficeHome,vit,multnoise_0.17500000000000002,0.55324,6.34159,0.4235,432
OfficeHome,vit,multnoise_0.2,0.52315,6.24953,0.44628,432
OfficeHome,vit,multnoise_0.225,0.51852,6.23168,0.46919,432
OfficeHome,vit,multnoise_0.25,0.50694,6.11717,0.49943,432
OfficeHome,vit,multnoise_0.275,0.4838,5.98373,0.53542,432
OfficeHome,vit,multnoise_0.30000000000000004,0.46759,5.88658,0.56484,432
OfficeHome,vit,multnoise_0.325,0.45833,5.78527,0.59091,432
OfficeHome,vit,multnoise_0.35000000000000003,0.44907,5.69706,0.61729,432
OfficeHome,vit,multnoise_0.375,0.42824,5.59266,0.64484,432
OfficeHome,vit,multnoise_0.4,0.40046,5.47308,0.67167,432
OfficeHome,vit,multnoise_0.42500000000000004,0.39352,5.35851,0.69691,432
OfficeHome,vit,multnoise_0.45,0.38426,5.27245,0.72388,432
OfficeHome,vit,multnoise_0.47500000000000003,0.3588,5.17098,0.75142,432
OfficeHome,vit,multnoise_0.5,0.34491,5.09499,0.77664,432
OfficeHome,vit,hue_0.025,0.6713,6.67092,0.38558,432
OfficeHome,vit,hue_0.05,0.67593,6.65669,0.39019,432
OfficeHome,vit,hue_0.07500000000000001,0.67824,6.64899,0.40073,432
OfficeHome,vit,hue_0.1,0.67593,6.62858,0.40023,432
OfficeHome,vit,hue_0.125,0.67824,6.64362,0.40215,432
OfficeHome,vit,hue_0.15000000000000002,0.68287,6.63835,0.40982,432
OfficeHome,vit,hue_0.17500000000000002,0.6713,6.6118,0.4114,432
OfficeHome,vit,hue_0.2,0.6713,6.6063,0.41624,432
OfficeHome,vit,hue_0.225,0.66435,6.57415,0.42925,432
OfficeHome,vit,hue_0.25,0.65509,6.54092,0.42577,432
OfficeHome,vit,hue_0.275,0.6412,6.50671,0.43738,432
OfficeHome,vit,hue_0.30000000000000004,0.63426,6.45456,0.44663,432
OfficeHome,vit,hue_0.325,0.61806,6.41061,0.45145,432
OfficeHome,vit,hue_0.35000000000000003,0.61343,6.39469,0.46033,432
OfficeHome,vit,hue_0.375,0.60648,6.3612,0.46573,432
OfficeHome,vit,hue_0.4,0.59954,6.34192,0.47532,432
OfficeHome,vit,hue_0.42500000000000004,0.61111,6.33075,0.47151,432
OfficeHome,vit,hue_0.45,0.60185,6.33327,0.4727,432
OfficeHome,vit,hue_0.47500000000000003,0.58796,6.31087,0.47454,432
OfficeHome,vit,hue_0.5,0.58796,6.30987,0.47268,432
OfficeHome,vit,saltpepper_0.025,0.39583,5.20712,0.72745,432
OfficeHome,vit,saltpepper_0.05,0.37731,5.19609,0.7304,432
OfficeHome,vit,saltpepper_0.07500000000000001,0.37963,5.16665,0.74294,432
OfficeHome,vit,saltpepper_0.1,0.36574,5.15299,0.75317,432
OfficeHome,vit,saltpepper_0.125,0.35648,5.13106,0.75945,432
OfficeHome,vit,saltpepper_0.15000000000000002,0.3588,5.12202,0.76597,432
OfficeHome,vit,saltpepper_0.17500000000000002,0.34722,5.06465,0.77322,432
OfficeHome,vit,saltpepper_0.2,0.33565,5.04042,0.78591,432
OfficeHome,vit,saltpepper_0.225,0.32639,5.00659,0.79681,432
OfficeHome,vit,saltpepper_0.25,0.32407,4.94127,0.80607,432
OfficeHome,vit,saltpepper_0.275,0.30787,4.86078,0.81927,432
OfficeHome,vit,saltpepper_0.30000000000000004,0.2963,4.81482,0.84057,432
OfficeHome,vit,saltpepper_0.325,0.27778,4.75465,0.86829,432
OfficeHome,vit,saltpepper_0.35000000000000003,0.28009,4.70329,0.88279,432
OfficeHome,vit,saltpepper_0.375,0.26389,4.63635,0.90329,432
OfficeHome,vit,saltpepper_0.4,0.25926,4.56343,0.91101,432
OfficeHome,vit,saltpepper_0.42500000000000004,0.26157,4.57842,0.91747,432
OfficeHome,vit,saltpepper_0.45,0.25,4.51046,0.93577,432
OfficeHome,vit,saltpepper_0.47500000000000003,0.24537,4.43568,0.93795,432
OfficeHome,vit,saltpepper_0.5,0.23611,4.36903,0.94395,432
OfficeHome,vit,brightness_0.025,0.67361,6.65839,0.37935,432
OfficeHome,vit,brightness_0.05,0.67593,6.68172,0.38824,432
OfficeHome,vit,brightness_0.07500000000000001,0.6713,6.65844,0.38385,432
OfficeHome,vit,brightness_0.1,0.67361,6.6668,0.37971,432
OfficeHome,vit,brightness_0.125,0.6713,6.65202,0.39405,432
OfficeHome,vit,brightness_0.15000000000000002,0.6713,6.66203,0.38952,432
OfficeHome,vit,brightness_0.17500000000000002,0.6713,6.6611,0.38907,432
OfficeHome,vit,brightness_0.2,0.67361,6.66877,0.38759,432
OfficeHome,vit,brightness_0.225,0.66435,6.65525,0.38798,432
OfficeHome,vit,brightness_0.25,0.66435,6.66043,0.38869,432
OfficeHome,vit,brightness_0.275,0.66667,6.65147,0.39322,432
OfficeHome,vit,brightness_0.30000000000000004,0.66667,6.64744,0.38801,432
OfficeHome,vit,brightness_0.325,0.6713,6.65134,0.39671,432
OfficeHome,vit,brightness_0.35000000000000003,0.66898,6.61828,0.39424,432
OfficeHome,vit,brightness_0.375,0.66435,6.64988,0.38493,432
OfficeHome,vit,brightness_0.4,0.67593,6.66544,0.39065,432
OfficeHome,vit,brightness_0.42500000000000004,0.67361,6.6611,0.39183,432
OfficeHome,vit,brightness_0.45,0.6713,6.65446,0.38625,432
OfficeHome,vit,brightness_0.47500000000000003,0.66898,6.66412,0.38794,432
OfficeHome,vit,brightness_0.5,0.66667,6.66795,0.38492,432
OfficeHome,vit,contrast_0.025,0.66435,6.6412,0.38848,432
OfficeHome,vit,contrast_0.05,0.66667,6.64842,0.38922,432
OfficeHome,vit,contrast_0.07500000000000001,0.65972,6.63328,0.39657,432
OfficeHome,vit,contrast_0.1,0.64815,6.61446,0.39309,432
OfficeHome,vit,contrast_0.125,0.64583,6.60514,0.39537,432
OfficeHome,vit,contrast_0.15000000000000002,0.63889,6.58237,0.39347,432
OfficeHome,vit,contrast_0.17500000000000002,0.62963,6.57418,0.38732,432
OfficeHome,vit,contrast_0.2,0.62037,6.54763,0.39682,432
OfficeHome,vit,contrast_0.225,0.61343,6.53775,0.39785,432
OfficeHome,vit,contrast_0.25,0.60648,6.52632,0.40338,432
OfficeHome,vit,contrast_0.275,0.60417,6.49109,0.39979,432
OfficeHome,vit,contrast_0.30000000000000004,0.60185,6.47092,0.40862,432
OfficeHome,vit,contrast_0.325,0.59028,6.41821,0.41537,432
OfficeHome,vit,contrast_0.35000000000000003,0.58565,6.41006,0.41288,432
OfficeHome,vit,contrast_0.375,0.59259,6.44034,0.40732,432
OfficeHome,vit,contrast_0.4,0.60185,6.47126,0.40822,432
OfficeHome,vit,contrast_0.42500000000000004,0.59954,6.49686,0.40255,432
OfficeHome,vit,contrast_0.45,0.60648,6.50461,0.39823,432
OfficeHome,vit,contrast_0.47500000000000003,0.61111,6.5313,0.40156,432
OfficeHome,vit,contrast_0.5,0.61111,6.52643,0.39746,432
OfficeHome,vit,smear_0.025,0.66435,6.64204,0.39441,432
OfficeHome,vit,smear_0.05,0.66898,6.66515,0.3858,432
OfficeHome,vit,smear_0.07500000000000001,0.66898,6.69023,0.3722,432
OfficeHome,vit,smear_0.1,0.65509,6.65101,0.3714,432
OfficeHome,vit,smear_0.125,0.64583,6.66626,0.3741,432
OfficeHome,vit,smear_0.15000000000000002,0.65046,6.60837,0.39588,432
OfficeHome,vit,smear_0.17500000000000002,0.63194,6.58431,0.39014,432
OfficeHome,vit,smear_0.2,0.63657,6.54595,0.38728,432
OfficeHome,vit,smear_0.225,0.6412,6.54919,0.40235,432
OfficeHome,vit,smear_0.25,0.64815,6.55034,0.38885,432
OfficeHome,vit,smear_0.275,0.64583,6.45396,0.39872,432
OfficeHome,vit,smear_0.30000000000000004,0.62963,6.40997,0.40555,432
OfficeHome,vit,smear_0.325,0.60648,6.42486,0.39397,432
OfficeHome,vit,smear_0.35000000000000003,0.60185,6.34353,0.40292,432
OfficeHome,vit,smear_0.375,0.58565,6.36999,0.40525,432
OfficeHome,vit,smear_0.4,0.5787,6.38677,0.42214,432
OfficeHome,vit,smear_0.42500000000000004,0.58102,6.31629,0.42954,432
OfficeHome,vit,smear_0.45,0.59259,6.24376,0.4327,432
OfficeHome,vit,smear_0.47500000000000003,0.58102,6.21858,0.4182,432
OfficeHome,vit,smear_0.5,0.5625,6.16063,0.42345,432
OfficeHome,vit,fog_0.025,0.67361,6.6464,0.38957,432
OfficeHome,vit,fog_0.05,0.67593,6.66776,0.38327,432
OfficeHome,vit,fog_0.07500000000000001,0.67361,6.65814,0.38466,432
OfficeHome,vit,fog_0.1,0.6713,6.65607,0.38712,432
OfficeHome,vit,fog_0.125,0.67593,6.67244,0.38369,432
OfficeHome,vit,fog_0.15000000000000002,0.66667,6.65548,0.38567,432
OfficeHome,vit,fog_0.17500000000000002,0.66898,6.66358,0.39122,432
OfficeHome,vit,fog_0.2,0.66898,6.65504,0.38037,432
OfficeHome,vit,fog_0.225,0.67361,6.66608,0.37931,432
OfficeHome,vit,fog_0.25,0.67593,6.66751,0.38176,432
OfficeHome,vit,fog_0.275,0.64352,6.60146,0.3894,432
OfficeHome,vit,fog_0.30000000000000004,0.65046,6.60698,0.39042,432
OfficeHome,vit,fog_0.325,0.64815,6.60039,0.39684,432
OfficeHome,vit,fog_0.35000000000000003,0.65278,6.61421,0.39694,432
OfficeHome,vit,fog_0.375,0.65046,6.60438,0.38859,432
OfficeHome,vit,fog_0.4,0.65046,6.59773,0.3874,432
OfficeHome,vit,fog_0.42500000000000004,0.60417,6.45806,0.41933,432
OfficeHome,vit,fog_0.45,0.60648,6.44097,0.4258,432
OfficeHome,vit,fog_0.47500000000000003,0.59491,6.44987,0.42832,432
OfficeHome,vit,fog_0.5,0.59491,6.44327,0.42243,432
OfficeHome,vit,jpeg_0.025,0.6713,6.66948,0.38264,432
OfficeHome,vit,jpeg_0.05,0.66898,6.66666,0.3806,432
OfficeHome,vit,jpeg_0.07500000000000001,0.67593,6.65717,0.38428,432
OfficeHome,vit,jpeg_0.1,0.67824,6.65879,0.38479,432
OfficeHome,vit,jpeg_0.125,0.66898,6.67571,0.38703,432
OfficeHome,vit,jpeg_0.15000000000000002,0.67824,6.68058,0.38339,432
OfficeHome,vit,jpeg_0.17500000000000002,0.66898,6.67269,0.38702,432
OfficeHome,vit,jpeg_0.2,0.66898,6.67283,0.3912,432
OfficeHome,vit,jpeg_0.225,0.66435,6.66939,0.38835,432
OfficeHome,vit,jpeg_0.25,0.66898,6.67049,0.38046,432
OfficeHome,vit,jpeg_0.275,0.66435,6.66828,0.38287,432
OfficeHome,vit,jpeg_0.30000000000000004,0.66435,6.66,0.38671,432
OfficeHome,vit,jpeg_0.325,0.66435,6.67679,0.38097,432
OfficeHome,vit,jpeg_0.35000000000000003,0.66204,6.68028,0.38534,432
OfficeHome,vit,jpeg_0.375,0.65741,6.68678,0.38706,432
OfficeHome,vit,jpeg_0.4,0.67361,6.68022,0.37603,432
OfficeHome,vit,jpeg_0.42500000000000004,0.66898,6.68495,0.38156,432
OfficeHome,vit,jpeg_0.45,0.6713,6.70048,0.38133,432
OfficeHome,vit,jpeg_0.47500000000000003,0.66435,6.68305,0.38577,432
OfficeHome,vit,jpeg_0.5,0.66204,6.68046,0.38411,432
Office31,resnet,ind_val,0.77574,5.09418,0.0,272
Office31,resnet,ind_test,0.83088,5.14755,0.36452,272
Office31,resnet,dslr,0.31653,4.01891,0.88092,496
Office31,resnet,webcam,0.26786,3.97255,0.89449,784
Office31,resnet,noise_0.025,0.72426,5.01705,0.46413,272
Office31,resnet,noise_0.05,0.49265,4.2133,0.84513,272
Office31,resnet,noise_0.07500000000000001,0.25735,3.33526,1.25161,272
Office31,resnet,noise_0.1,0.13235,2.55591,1.48243,272
Office31,resnet,noise_0.125,0.08824,2.09041,1.58284,272
Office31,resnet,noise_0.15000000000000002,0.05882,1.84529,1.6486,272
Office31,resnet,noise_0.17500000000000002,0.04779,1.78859,1.66135,272
Office31,resnet,noise_0.2,0.05147,1.71331,1.67914,272
Office31,resnet,noise_0.225,0.05147,1.58718,1.72504,272
Office31,resnet,noise_0.25,0.05515,1.50578,1.77444,272
Office31,resnet,noise_0.275,0.04779,1.45953,1.80233,272
Office31,resnet,noise_0.30000000000000004,0.04044,1.43047,1.8153,272
Office31,resnet,noise_0.325,0.03676,1.37561,1.82637,272
Office31,resnet,noise_0.35000000000000003,0.02941,1.33427,1.83383,272
Office31,resnet,noise_0.375,0.03309,1.30664,1.84096,272
Office31,resnet,noise_0.4,0.02941,1.26221,1.84894,272
Office31,resnet,noise_0.42500000000000004,0.02574,1.25977,1.85033,272
Office31,resnet,noise_0.45,0.02574,1.24435,1.85529,272
Office31,resnet,noise_0.47500000000000003,0.02574,1.23294,1.8652,272
Office31,resnet,noise_0.5,0.02574,1.22212,1.87279,272
Office31,resnet,multnoise_0.025,0.67647,4.83046,0.56697,272
Office31,resnet,multnoise_0.05,0.40441,4.0261,0.99791,272
Office31,resnet,multnoise_0.07500000000000001,0.18382,2.86138,1.3741,272
Office31,resnet,multnoise_0.1,0.09926,2.30046,1.52522,272
Office31,resnet,multnoise_0.125,0.06618,1.94975,1.61989,272
Office31,resnet,multnoise_0.15000000000000002,0.05882,1.8395,1.67493,272
Office31,resnet,multnoise_0.17500000000000002,0.04044,1.6766,1.70826,272
Office31,resnet,multnoise_0.2,0.03309,1.61992,1.73515,272
Office31,resnet,multnoise_0.225,0.03676,1.51685,1.76462,272
Office31,resnet,multnoise_0.25,0.03309,1.4821,1.77839,272
Office31,resnet,multnoise_0.275,0.02941,1.39037,1.80131,272
Office31,resnet,multnoise_0.30000000000000004,0.02941,1.39365,1.81218,272
Office31,resnet,multnoise_0.325,0.02574,1.38482,1.82318,272
